source,chunk_id,text
aasld_hcv_guidance_2023_cleaned.txt,0,"The American Association for the Study of Liver Diseases and the Infectious Diseases Society of America Present HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C Last Updated: December 19, 2023 www.hcvguidelines.org © 2014-2023 by the American Association for the Study of Liver Diseases and the Infectious Diseases Society of America. All rights reserved."
aasld_hcv_guidance_2023_cleaned.txt,1,"Study of Liver Diseases and the Infectious Diseases Society of America Present HCV Guidance: Recommendations for Testing, Managing, and Treating Hepatitis C Last Updated: December 19, 2023 www.hcvguidelines.org © 2014-2023 by the American Association for the Study of Liver Diseases and the Infectious Diseases Society of America. All rights reserved. Introduction Published on HCV Guidance (https://www.hcvguidelines.org) Introduction NOTICE: Guidance for hepatitis C treatment in adults is changing constantly with the advent of new therapies and other developments."
aasld_hcv_guidance_2023_cleaned.txt,2,"www.hcvguidelines.org © 2014-2023 by the American Association for the Study of Liver Diseases and the Infectious Diseases Society of America. All rights reserved. Introduction Published on HCV Guidance (https://www.hcvguidelines.org) Introduction NOTICE: Guidance for hepatitis C treatment in adults is changing constantly with the advent of new therapies and other developments. A static version of this guidance, such as printouts of this website material, booklets, slides, and other materials, may be outdated by the time you read this."
aasld_hcv_guidance_2023_cleaned.txt,3,"Guidance (https://www.hcvguidelines.org) Introduction NOTICE: Guidance for hepatitis C treatment in adults is changing constantly with the advent of new therapies and other developments. A static version of this guidance, such as printouts of this website material, booklets, slides, and other materials, may be outdated by the time you read this. We urge you to review this guidance on this website (www.hcvguidelines.org) for the latest recommendations."
aasld_hcv_guidance_2023_cleaned.txt,4,"the advent of new therapies and other developments. A static version of this guidance, such as printouts of this website material, booklets, slides, and other materials, may be outdated by the time you read this. We urge you to review this guidance on this website (www.hcvguidelines.org) for the latest recommendations. The landscape of treatment for hepatitis C virus (HCV) infection has evolved substantially since the introduction of highly effective HCV protease inhibitor therapies in 2011."
aasld_hcv_guidance_2023_cleaned.txt,5,"materials, may be outdated by the time you read this. We urge you to review this guidance on this website (www.hcvguidelines.org) for the latest recommendations. The landscape of treatment for hepatitis C virus (HCV) infection has evolved substantially since the introduction of highly effective HCV protease inhibitor therapies in 2011. The pace of change has increased rapidly as numerous new drugs with different mechanisms of action have become available over the past few years."
aasld_hcv_guidance_2023_cleaned.txt,6,"recommendations. The landscape of treatment for hepatitis C virus (HCV) infection has evolved substantially since the introduction of highly effective HCV protease inhibitor therapies in 2011. The pace of change has increased rapidly as numerous new drugs with different mechanisms of action have become available over the past few years. To provide healthcare professionals with timely guidance as new therapies become available and are integrated into HCV regimens, the Infectious Diseases Society of America (IDSA) and American Association for the Study of Liver Diseases (AASLD), developed a web-based process for the rapid formulation and dissemination of evidence-based, expert-developed recommendations for hepatitis C management."
aasld_hcv_guidance_2023_cleaned.txt,7,"professionals with timely guidance as new therapies become available and are integrated into HCV regimens, the Infectious Diseases Society of America (IDSA) and American Association for the Study of Liver Diseases (AASLD), developed a web-based process for the rapid formulation and dissemination of evidence-based, expert-developed recommendations for hepatitis C management. The AASLD/IDSA guidance on hepatitis C addresses management issues ranging from testing and linkage to care, the crucial first steps toward improving health outcomes for HCV-infected persons, to the optimal treatment regimen in particular patient situations."
aasld_hcv_guidance_2023_cleaned.txt,8,"for the rapid formulation and dissemination of evidence-based, expert-developed recommendations for hepatitis C management. The AASLD/IDSA guidance on hepatitis C addresses management issues ranging from testing and linkage to care, the crucial first steps toward improving health outcomes for HCV-infected persons, to the optimal treatment regimen in particular patient situations. Recommendations are evidence based and rapidly updated as new data from peer-reviewed research become available."
aasld_hcv_guidance_2023_cleaned.txt,9,"AASLD/IDSA guidance on hepatitis C addresses management issues ranging from testing and linkage to care, the crucial first steps toward improving health outcomes for HCV-infected persons, to the optimal treatment regimen in particular patient situations. Recommendations are evidence based and rapidly updated as new data from peer-reviewed research become available. For each treatment option, recommendations reflect the best possible management for a given patient and a given point of disease progression."
